source_url,source_domain,page_type,target_url,migration_status,redirect_required,notes
https://justwirerope.com/,justwirerope.com,product-or-category,,discovered,false,Discovered public page.
https://justwirerope.com/sitemap.xml,justwirerope.com,error,,error,false,HTTP 301
https://justwirerope.com/about-us/,justwirerope.com,skipped,,skipped,false,Skipped non-product/service page.
https://justwirerope.com/shop/,justwirerope.com,product-or-category,,discovered,false,Discovered public page.
https://justwirerope.com/product-category/tool-lanyard/,justwirerope.com,product-or-category,,discovered,false,Discovered public page.
https://justwirerope.com/products/anti-lost-safety-rope/,justwirerope.com,product-or-category,,discovered,false,Discovered public page.
https://justwirerope.com/products/diving-camera-lanyard-with-quick-release-buckle/,justwirerope.com,product-or-category,,discovered,false,Discovered public page.
https://justwirerope.com/products/dog-tie-out-cable-with-pvc-coating/,justwirerope.com,product-or-category,,discovered,false,Discovered public page.
https://justwirerope.com/products/high-quality-spring-lanyard-with-two-hooks/,justwirerope.com,product-or-category,,discovered,false,Discovered public page.
https://justwirerope.com/products/lanyard-coil-spring-wire-for-safety-fall-protection/,justwirerope.com,product-or-category,,discovered,false,Discovered public page.
https://justwirerope.com/products/high-quality-tool-lanyard-portable-spring-wire-rope/,justwirerope.com,product-or-category,,discovered,false,Discovered public page.
https://justwirerope.com/products/lightweight-safety-coils-lanyard/,justwirerope.com,product-or-category,,discovered,false,Discovered public page.
https://justwirerope.com/products/retractable-coil-lanyard-for-safety/,justwirerope.com,product-or-category,,discovered,false,Discovered public page.
https://justwirerope.com/products/retractable-spring-coil-keychain-spiral-lanyards/,justwirerope.com,product-or-category,,discovered,false,Discovered public page.
https://justwirerope.com/products/safety-dog-leash-with-handle/,justwirerope.com,product-or-category,,discovered,false,Discovered public page.
https://justwirerope.com/products/safety-tool-lanyard-with-d-hook-stretchable/,justwirerope.com,product-or-category,,discovered,false,Discovered public page.
https://justwirerope.com/products/stainless-steel-convenient-safety-cable-saw/,justwirerope.com,product-or-category,,discovered,false,Discovered public page.
https://justwirerope.com/products/high-quality-tool-lanyard-for-height-work/,justwirerope.com,product-or-category,,discovered,false,Discovered public page.
https://justwirerope.com/product-category/brake-cable/,justwirerope.com,product-or-category,,discovered,false,Discovered public page.
